Category;Beneficiary;Reason4Payment;BookingText;
AccountFees;;;ABSCHLUSS;
AccountFees;;;ENTGELTABSCHLUSS;
AccountFees;;;RechnungSTADTSPARKASSE;
Animals;FRESSNAPF;;;
Animals;Tier;;;
BeatySanitary; Muller;;;
BeatySanitary;DM;;;
BeatySanitary;ROSSMANN;;;
CashDispenser;GA;;;
CashDispenser;SPARKASSE;;;
CashDispenser;KREISSPARKASSE;;;
CashIncome;;SB-EINZAHLUNG;BARGELDEINZAHLUNG;
Credit card bill;;KREDITKARTENABRECHNUNG;;
Credit card bill;;;;
CreditRepayment;CONSORS;;;
DressShoes;SIEMES ;;;
DressShoes;H+M;;;
Energy;Energie;;;
Energy;VATTENFALL;;;
ExtCashDispenser;; EURABWA;KUNDENENTGELT;
ExternalPayment;Girozentrale;;;
FoodMarket;Penny;;;
FoodMarket;EDEKA;;;
FoodMarket;ZWISCHENKONTO;;;
FoodMarket;LIDL;;;
FoodMarket;Netto;;;
FoodMarket;REAL;;;
FoodMarket;KAUFLAND;;;
FoodMarket;ALDI;;;
FoodMarket;MIX;;;
FoodMarket;NORMA;;;
FoodMarket;Feneberg;;;
FoodMarket;REWE;;;
FoodMarket;KLIVER;;;
Fuel;KRAFTSTOFFE;;;
Fuel;TANKSTELLE;;;
Fuel;JET;;;
Fuel;TS;;;
Fuel;Tankstelle;;;
Fuel;Shell;;;
FurnitureDecoration;MOEMAX-HALLE;;;
FurnitureDecoration;IKEA;;;
FurnitureDecoration;POCO;;;
HoReCa;LOSTERIA;;;
HoReCa;CAFE;;;
HoReCa;KENTUCKY;;;
HoReCa;MCDONALDS;;;
HoReCa;RISTORANTE;;;
HoReCa;Lezzet;;;
HoReCa;ANASTASIA;;;
HoReCa;Adyen N.V.;;;
HoReCa;Asia World;;;
InfoServices;M-net;;;
InfoServices;Telefonica;;;
InfoServices;Vodafone;;;
InfoServices;Drillisch;;;
InnerTransfer;Stella Zdravkov;;UEBERTRAG;
Insurance;HUK-COBURG;;;
Insurance;HUK24;;;
Insurance;Versicherungs-;;;
Medication;ABZ-ZR;APOTHEKE;;
Medication;APOTHEKE;;;
Medication;LOTOS-APOTHEKE;;;
Medication;MVZ;;;
On-Line;PAYPAL;;;
Reimbursement;;;GUTSCHR.;
Rent;Wohnungs-;;;
Salary;Volke;;;
SportBooksEntertainment;HUGENDUBEL;DER RESIDENZ;;
SportBooksEntertainment;Koch;;;
SportBooksEntertainment;SPIEL;;;
SportBooksEntertainment;UNTERNEH;;;
SportBooksEntertainment;LECHTALBAD;;;
SportBooksEntertainment;Stichting;;;
SportBooksEntertainment;Fitness;;;
SportBooksEntertainment;THERME;;;
TaxPenalty;Stadt;;;
TaxPenalty;Rundfunk;;;
TaxPenalty;Hauptzollamt;;;
TaxPenalty;Bürgerbüro;;;
ToolsSparePartsMaterials;BAUHAUS;;;
ToolsSparePartsMaterials;Globus;GLOBUS;;
Transport;Parken;;;
Transport;DB;;;
Transport;VERK.GES.;;;
Transport;avg;;;
Transport;PARKPLAETZE;;;
